,movieId,tconst,title,Annee,rating,titleType,isAdult,runtimeMinutes,Action,Adventure,Animation,Biography,Children,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,IMAX,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,original_language,revenue,budget
0,1,tt0114709,Toy Story,1995,4.0,movie,0.0,81,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,373554033.0,30000000
1,2,tt0113497,Jumanji,1995,3.5,movie,0.0,104,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,262797249.0,65000000
2,3,tt0113228,Grumpier Old Men,1995,3.0,movie,0.0,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
3,4,tt0114885,Waiting to Exhale,1995,3.0,movie,0.0,124,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,81452156.0,16000000
4,5,tt0113041,Father of the Bride Part II,1995,3.0,movie,0.0,106,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,76578911.0,0
5,6,tt0113277,Heat,1995,4.0,movie,0.0,170,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,187436818.0,60000000
6,7,tt0114319,Sabrina,1995,3.0,movie,0.0,127,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,58000000
7,8,tt0112302,Tom and Huck,1995,3.0,movie,0.0,97,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
8,9,tt0114576,Sudden Death,1995,3.0,movie,0.0,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,64350171.0,35000000
9,10,tt0113189,GoldenEye,1995,3.5,movie,0.0,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,352194034.0,58000000
10,11,tt0112346,"American President, The",1995,4.0,movie,0.0,114,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,107879496.0,62000000
11,12,tt0112896,Dracula: Dead and Loving It,1995,3.0,movie,0.0,88,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
12,13,tt0112453,Balto,1995,3.0,movie,0.0,78,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,11348324.0,0
13,14,tt0113987,Nixon,1995,4.0,movie,0.0,192,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,13681765.0,44000000
14,15,tt0112760,Cutthroat Island,1995,3.0,movie,0.0,124,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,10017322.0,98000000
15,16,tt0112641,Casino,1995,4.0,movie,0.0,178,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,116112375.0,52000000
16,17,tt0114388,Sense and Sensibility,1995,4.0,movie,0.0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,135000000.0,16500000
17,18,tt0113101,Four Rooms,1995,4.0,movie,0.0,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,4300000.0,4000000
18,19,tt0112281,Ace Ventura: When Nature Calls,1995,3.0,movie,0.0,90,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,212385533.0,30000000
19,20,tt0113845,Money Train,1995,2.0,movie,0.0,110,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,35431113.0,60000000
20,21,tt0113161,Get Shorty,1995,4.0,movie,0.0,105,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,115101622.0,30250000
21,22,tt0112722,Copycat,1995,3.0,movie,0.0,123,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,en,0.0,0
22,23,tt0112401,Assassins,1995,3.0,movie,0.0,132,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,30303072.0,50000000
23,24,tt0114168,Powder,1995,3.0,movie,0.0,111,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,en,0.0,0
24,25,tt0113627,Leaving Las Vegas,1995,4.0,movie,0.0,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,49800000.0,3600000
25,26,tt0114057,Othello,1995,4.0,movie,0.0,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
26,27,tt0114011,Now and Then,1995,3.0,movie,0.0,100,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,27400000.0,12000000
27,28,tt0114117,Persuasion,1995,4.5,tvEpisode,0.0,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
28,29,tt0112682,"City of Lost Children, The (Cité des enfants perdus, La)",1995,4.0,movie,0.0,112,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,fr,1738611.0,18000000
29,30,tt0115012,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,4.0,movie,0.0,108,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zh,0.0,0
30,31,tt0112792,Dangerous Minds,1995,3.0,movie,0.0,99,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,180000000.0,0
31,32,tt0114746,Twelve Monkeys (a.k.a. 12 Monkeys),1995,4.0,movie,0.0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,en,168840000.0,29500000
32,34,tt0112431,Babe,1995,4.0,movie,0.0,91,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,254134910.0,30000000
33,36,tt0112818,Dead Man Walking,1995,4.0,movie,0.0,122,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,39363635.0,11000000
34,38,tt0113442,It Takes Two,1995,2.25,movie,0.0,101,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
35,39,tt0112697,Clueless,1995,3.0,movie,0.0,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,12000000
36,40,tt0112749,"Cry, the Beloved Country",1995,4.25,movie,0.0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,676525.0,0
37,41,tt0114279,Richard III,1995,4.0,movie,0.0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,en,0.0,0
38,42,tt0112819,Dead Presidents,1995,3.0,movie,0.0,119,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,10000000
39,43,tt0114272,Restoration,1995,3.0,movie,0.0,117,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,19000000
40,44,tt0113855,Mortal Kombat,1995,2.5,movie,0.0,101,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,122195920.0,18000000
41,45,tt0114681,To Die For,1995,3.0,movie,0.0,106,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,21284514.0,20000000
42,46,tt0113347,How to Make an American Quilt,1995,3.0,movie,0.0,117,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,23574130.0,10000000
43,47,tt0114369,Seven (a.k.a. Se7en),1995,4.0,movie,0.0,127,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,en,327311859.0,33000000
44,48,tt0114148,Pocahontas,1995,3.0,movie,0.0,81,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,en,346079773.0,55000000
45,49,tt0114916,When Night Is Falling,1995,3.0,movie,0.0,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
46,50,tt0114814,"Usual Suspects, The",1995,4.5,movie,0.0,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,en,23341568.0,6000000
47,52,tt0113819,Mighty Aphrodite,1995,3.25,movie,0.0,95,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,6700000.0,15000000
48,53,tt0110299,Lamerica,1994,5.0,movie,0.0,116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,it,0.0,0
49,54,tt0112499,"Big Green, The",1995,2.0,movie,0.0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,0.0,0
50,55,tt0113158,Georgia,1995,4.0,movie,0.0,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,0.0,0
51,57,tt0113321,Home for the Holidays,1995,3.0,movie,0.0,103,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,17519169.0,0
52,58,tt0110877,"Postman, The (Postino, Il)",1994,4.0,movie,0.0,108,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,it,0.0,0
53,60,tt0113419,"Indian in the Cupboard, The",1995,3.0,movie,0.0,96,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,45000000
54,61,tt0116260,Eye for an Eye,1996,4.0,movie,0.0,101,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,0.0,20000000
55,62,tt0113862,Mr. Holland's Opus,1995,4.0,movie,0.0,143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,106269971.0,0
56,63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,3.0,movie,0.0,89,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
57,64,tt0118002,Two if by Sea,1996,2.0,movie,0.0,96,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
58,65,tt0115683,Bio-Dome,1996,3.0,movie,0.0,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,15000000
59,66,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,3.0,movie,0.0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,2409225.0,0
60,68,tt0113149,French Twist (Gazon maudit),1995,3.0,movie,0.0,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,fr,0.0,0
61,69,tt0113118,Friday,1995,4.0,movie,0.0,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,28215918.0,3500000
62,70,tt0116367,From Dusk Till Dawn,1996,4.0,movie,0.0,108,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,en,25836616.0,19000000
63,71,tt0113010,Fair Game,1995,2.0,movie,0.0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,en,11534477.0,50000000
64,72,tt0113537,Kicking and Screaming,1995,4.0,movie,0.0,96,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,718490.0,0
65,73,tt0113828,"Misérables, Les",1995,4.0,movie,0.0,175,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,fr,0.0,0
66,74,tt0115644,Bed of Roses,1996,4.0,movie,0.0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,19030691.0,0
67,75,tt0115676,Big Bully,1996,3.0,movie,0.0,90,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,2042530.0,15000000
68,76,tt0114367,Screamers,1995,3.5,movie,0.0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,en,5781885.0,20000000
69,77,tt0113973,Nico Icon,1995,4.0,movie,0.0,70,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,0.0,0
70,78,tt0112744,"Crossing Guard, The",1995,3.0,movie,0.0,111,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,0.0,0
71,79,tt0116731,"Juror, The",1996,2.0,movie,0.0,118,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,0.0,44000000
72,80,tt0112445,"White Balloon, The (Badkonake sefid)",1995,4.0,movie,0.0,85,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fa,0.0,0
73,81,tt0114660,Things to Do in Denver When You're Dead,1995,3.0,movie,0.0,115,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,en,529766.0,8000000
74,82,tt0112379,Antonia's Line (Antonia),1995,4.5,movie,0.0,102,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nl,0.0,900000
75,83,tt0114039,Once Upon a Time... When We Were Colored,1995,3.0,movie,0.0,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
76,85,tt0112365,Angels and Insects,1995,5.0,movie,0.0,116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
77,86,tt0118158,White Squall,1996,4.0,movie,0.0,129,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,10300000.0,38000000
78,87,tt0116151,Dunston Checks In,1996,3.0,movie,0.0,88,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,16000000
79,88,tt0115697,Black Sheep,1996,3.25,movie,0.0,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,32.0,0
80,89,tt0113972,Nick of Time,1995,3.25,movie,0.0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,8175346.0,8169363
81,92,tt0117002,Mary Reilly,1996,2.5,movie,0.0,108,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,en,12379402.0,47000000
82,93,tt0114825,Vampire in Brooklyn,1995,3.0,movie,0.0,100,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,en,19800000.0,14000000
83,94,tt0115639,Beautiful Girls,1996,4.0,movie,0.0,112,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,0.0,0
84,95,tt0115759,Broken Arrow,1996,3.0,movie,0.0,108,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,150270147.0,50000000
85,96,tt0113403,In the Bleak Midwinter,1995,3.5,movie,0.0,99,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
86,97,tt0113247,"Hate (Haine, La)",1995,4.0,movie,0.0,98,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fr,0.0,3000000
87,99,tt0113283,Heidi Fleiss: Hollywood Madam,1995,5.0,tvMovie,0.0,106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
88,100,tt0115907,City Hall,1996,3.0,movie,0.0,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,0.0,0
89,101,tt0115734,Bottle Rocket,1996,4.0,movie,0.0,91,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,560069.0,7000000
90,102,tt0117102,Mr. Wrong,1996,1.0,movie,0.0,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,0.0,0
91,103,tt0118040,Unforgettable,1996,3.0,movie,0.0,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,en,0.0,18000000
